,stock,base,quot,trade_min,trade_max
pivx-bnb,binance,pivx,bnb,0.01000000,10000000.00000000
iost-btc,binance,iost,btc,1.00000000,90000000.00000000
iost-eth,binance,iost,eth,1.00000000,90000000.00000000
chat-btc,binance,chat,btc,1.00000000,90000000.00000000
chat-eth,binance,chat,eth,1.00000000,90000000.00000000
steem-btc,binance,steem,btc,0.01000000,90000000.00000000
steem-eth,binance,steem,eth,0.01000000,90000000.00000000
steem-bnb,binance,steem,bnb,0.01000000,10000000.00000000
nano-btc,binance,nano,btc,0.01000000,90000000.00000000
nano-eth,binance,nano,eth,0.01000000,90000000.00000000
nano-bnb,binance,nano,bnb,0.01000000,10000000.00000000
via-btc,binance,via,btc,0.01000000,90000000.00000000
via-eth,binance,via,eth,0.01000000,90000000.00000000
via-bnb,binance,via,bnb,0.01000000,10000000.00000000
blz-btc,binance,blz,btc,1.00000000,90000000.00000000
blz-eth,binance,blz,eth,1.00000000,90000000.00000000
blz-bnb,binance,blz,bnb,0.01000000,10000000.00000000
ae-btc,binance,ae,btc,0.01000000,90000000.00000000
ae-eth,binance,ae,eth,0.01000000,90000000.00000000
ae-bnb,binance,ae,bnb,0.01000000,10000000.00000000
rpx-btc,binance,rpx,btc,1.00000000,90000000.00000000
rpx-eth,binance,rpx,eth,1.00000000,90000000.00000000
rpx-bnb,binance,rpx,bnb,0.01000000,10000000.00000000
ncash-btc,binance,ncash,btc,1.00000000,90000000.00000000
ncash-eth,binance,ncash,eth,1.00000000,90000000.00000000
ncash-bnb,binance,ncash,bnb,0.01000000,10000000.00000000
poa-btc,binance,poa,btc,1.00000000,90000000.00000000
poa-eth,binance,poa,eth,1.00000000,90000000.00000000
poa-bnb,binance,poa,bnb,0.01000000,10000000.00000000
zil-btc,binance,zil,btc,1.00000000,90000000.00000000
zil-eth,binance,zil,eth,1.00000000,90000000.00000000
zil-bnb,binance,zil,bnb,0.01000000,10000000.00000000
ont-btc,binance,ont,btc,0.01000000,90000000.00000000
ont-eth,binance,ont,eth,0.01000000,90000000.00000000
ont-bnb,binance,ont,bnb,0.01000000,10000000.00000000
storm-btc,binance,storm,btc,1.00000000,90000000.00000000
storm-eth,binance,storm,eth,1.00000000,90000000.00000000
storm-bnb,binance,storm,bnb,0.01000000,10000000.00000000
qtum-bnb,binance,qtum,bnb,0.01000000,10000000.00000000
qtum-usdt,binance,qtum,usdt,0.00100000,10000000.00000000
xem-btc,binance,xem,btc,1.00000000,90000000.00000000
xem-eth,binance,xem,eth,1.00000000,90000000.00000000
xem-bnb,binance,xem,bnb,0.01000000,10000000.00000000
wan-btc,binance,wan,btc,0.01000000,90000000.00000000
wan-eth,binance,wan,eth,0.01000000,90000000.00000000
wan-bnb,binance,wan,bnb,0.01000000,10000000.00000000
wpr-btc,binance,wpr,btc,1.00000000,90000000.00000000
wpr-eth,binance,wpr,eth,1.00000000,90000000.00000000
qlc-btc,binance,qlc,btc,1.00000000,90000000.00000000
qlc-eth,binance,qlc,eth,1.00000000,90000000.00000000
sys-btc,binance,sys,btc,1.00000000,90000000.00000000
sys-eth,binance,sys,eth,1.00000000,90000000.00000000
sys-bnb,binance,sys,bnb,0.01000000,10000000.00000000
qlc-bnb,binance,qlc,bnb,0.01000000,10000000.00000000
grs-btc,binance,grs,btc,1.00000000,90000000.00000000
grs-eth,binance,grs,eth,1.00000000,90000000.00000000
ada-usdt,binance,ada,usdt,0.01000000,10000000.00000000
ada-bnb,binance,ada,bnb,0.01000000,10000000.00000000
