,double,single,triple
2018-01-18 09:24:01,-0.06328537652932544,0.005481757370874971,0.03575808125981273
2018-01-18 09:24:11,-0.06320127171056163,0.00546068106324742,0.036416795889279485
2018-01-18 09:24:21,-0.0631173403684393,0.005439449891339303,0.03706924457553657
2018-01-18 09:24:31,-0.06299097237601622,0.005418082109908095,0.037716801328831914
2018-01-18 09:24:41,-0.06290724754554435,0.005396574957693218,0.03835938692173044
2018-01-18 09:24:51,-0.0628234529103935,0.005374910177513816,0.03899664007552584
2018-01-18 09:25:01,-0.06273957228114106,0.005353043327808985,0.03962858471179987
2018-01-18 09:25:11,-0.06265536571850977,0.005330995548787739,0.04025518675496481
2018-01-18 09:25:21,-0.06257099693969796,0.005308751601328501,0.040874953072329606
2018-01-18 09:25:31,-0.062486028666369146,0.005286317885875744,0.041488742949436073
2018-01-18 09:25:41,-0.06240026568761091,0.00526372536900768,0.04209763601706856
2018-01-18 09:25:51,-0.062313725015094135,0.005240974746524794,0.042276469891037366
2018-01-18 09:26:01,-0.062226229201172885,0.005218078923496253,0.042869342454640615
2018-01-18 09:26:11,-0.06213782152436002,0.005195056128576127,0.043456355953184846
2018-01-18 09:26:21,-0.06204846327998656,0.005171903628528152,0.044038617496097804
2018-01-18 09:26:31,-0.061958141944992925,0.005148641443196535,0.04461582496465843
2018-01-18 09:26:41,-0.06186671125115444,0.005125293967784831,0.04518745032413176
2018-01-18 09:26:52,-0.06177403633741294,0.0051018718279233705,0.04575367635184034
2018-01-18 09:27:01,-0.06168003428325935,0.005078406116691782,0.046314188542919084
2018-01-18 09:27:11,-0.06158452969462811,0.005054915112946343,0.04686994304924734
2018-01-18 09:27:21,-0.06148742297280546,0.005031421615309364,0.04742212971623591
2018-01-18 09:27:31,-0.06138866069156694,0.005007944817468941,0.047969624501820046
2018-01-18 09:27:41,-0.0612882895592409,0.004984495763283475,0.048513243248034556
2018-01-18 09:27:51,-0.061186245093798816,0.004961091729623255,0.049055070504079146
2018-01-18 09:28:01,-0.061082480382040484,0.004937768688947404,0.049595394508078754
2018-01-18 09:28:11,-0.06097716010262361,0.0049145120046996,0.050134251582022414
2018-01-18 09:28:21,-0.060870332845568406,0.004891319653682889,0.05025234913135792
2018-01-18 09:28:31,-0.060762139332587256,0.004868166377210473,0.05036751264252175
2018-01-18 09:28:41,-0.0606525946909347,0.004845058411680891,0.05088714549478384
2018-01-18 09:28:51,-0.060541771916755374,0.00482199670928192,0.051398655617867904
2018-01-18 09:29:01,-0.06042964920186944,0.004798983166452768,0.05190004322312618
