,avg,base,close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-20 20:55:24,12727.25722255952,btc,12760.0,usd,2018-01-20,2018-01-20 20:55:24,1516470924.0,0.02146644355215678,-32540291.386527542,48027.74022328
2018-01-20 22:00:54,12878.780997851938,btc,12922.0,usd,2018-01-20,2018-01-20 22:00:54,1516474854.0,0.02119296853185543,-32125594.252600465,47709.92528067999
2018-01-20 23:22:05,12643.709677419358,btc,12688.0,usd,2018-01-20,2018-01-20 23:22:05,1516479725.0,0.02005858918330504,-30405391.888807032,47694.86305769
2018-01-21 04:09:41,12372.91610924194,btc,12424.0,usd,2018-01-21,2018-01-21 04:09:41,1516496981.0,0.012175014859455874,-18450382.113206733,47937.88783882001
2018-01-21 12:28:31,11672.325654062908,btc,11643.0,usd,2018-01-21,2018-01-21 12:28:31,1516526911.0,-0.006344168194650219,9633318.522452464,46064.06048654999
2018-01-21 16:09:20,11971.765938349197,btc,12024.0,usd,2018-01-21,2018-01-21 16:09:20,1516540160.0,-0.011633967086328896,17655280.321872205,46004.4424046
2018-01-22 00:05:31,11074.44572399694,btc,11113.0,usd,2018-01-22,2018-01-22 00:05:31,1516568731.0,-0.01844725785340204,27987768.3753094,51297.54507663
2018-01-22 09:04:41,11433.446788292584,btc,11452.0,usd,2018-01-22,2018-01-22 09:04:41,1516601081.0,-0.007822817100087417,11875360.58159069,50124.25234548
2018-01-22 09:44:31,11625.35483870968,btc,11618.0,usd,2018-01-22,2018-01-22 09:44:31,1516603471.0,-0.0070200682092371285,10657945.509775292,50034.43161097
2018-01-22 12:16:52,11661.973934084517,btc,11686.0,usd,2018-01-22,2018-01-22 12:16:52,1516612612.0,-0.0038986537233122016,5924142.874472377,47299.49441165
2018-01-23 10:27:51,10198.558092313706,btc,10228.0,usd,2018-01-23,2018-01-23 10:27:51,1516692471.0,-0.013099735765630166,19878520.05172512,70427.59080346997
2018-01-23 12:20:41,10597.709332455805,btc,10609.0,usd,2018-01-23,2018-01-23 12:20:41,1516699241.0,-0.00989518174626922,15018302.924292253,71021.83733598
2018-01-23 13:04:31,10427.854965711287,btc,10450.0,usd,2018-01-23,2018-01-23 13:04:31,1516701871.0,-0.008080392159026029,12265876.85886199,71500.62609243001
2018-01-23 15:00:31,9982.143548387094,btc,10004.0,usd,2018-01-23,2018-01-23 15:00:31,1516708831.0,-0.004246312214948496,6450807.744375479,76534.22598298003
2018-01-23 16:20:11,10170.562933620316,btc,10207.0,usd,2018-01-23,2018-01-23 16:20:11,1516713611.0,-0.0028714355925707567,4365533.532040903,77322.81640011999
2018-01-23 19:49:21,11173.145541978543,btc,11228.0,usd,2018-01-23,2018-01-23 19:49:21,1516726161.0,-0.0016166288231875296,2462417.479231436,70277.51321859
