,assume_range,in_avg,in_price,out_date,out_price,trend_type
2018-01-25 19:13:08,186.15883028709595,11008.21101786386,11043.0,2018-01-25 20:04:09,10857.0,double
2018-01-25 20:18:08,203.26902094516208,10952.645567649022,10972.0,2018-01-25 20:22:48,10897.0,double
2018-01-26 01:04:29,200.50267368403183,11222.177784625635,11263.0,2018-01-26 01:58:39,11166.0,double
2018-01-26 02:22:39,200.50267368403183,11155.284967251762,11171.0,2018-01-26 02:34:59,11148.0,double
2018-01-26 07:59:59,197.3976264858038,11449.012129353052,11462.0,2018-01-26 08:18:49,11439.0,double
2018-01-26 09:48:49,186.15883028709595,11378.360774952243,11430.0,2018-01-26 10:10:09,11328.0,double
2018-01-26 12:00:50,186.15883028709595,10701.392995222568,10746.0,2018-01-26 12:12:40,10605.0,double
2018-01-26 13:10:40,268.06366010097736,10408.522179123052,10498.0,2018-01-26 16:25:30,10677.0,double
2018-01-26 17:17:00,194.2925792875758,10558.516772788209,10630.0,2018-01-26 18:11:30,10753.0,double
2018-01-26 20:48:11,197.3976264858038,11022.99137634144,11110.0,2018-01-26 21:41:40,10996.0,double
2018-01-26 23:19:01,197.3976264858038,10937.706990770956,11008.0,2018-01-27 00:11:30,10904.0,double
2018-01-27 01:02:11,197.3976264858038,10851.857123721758,10892.0,2018-01-27 01:33:31,10810.0,double
2018-01-27 02:12:51,186.15883028709595,10807.444894598217,10884.0,2018-01-27 02:59:01,11099.0,double
2018-01-27 04:41:51,194.2925792875758,10975.454720407892,11005.0,2018-01-27 05:06:41,10949.0,double
2018-01-27 07:11:11,197.3976264858038,11023.291639521121,11106.0,2018-01-27 08:59:12,11230.0,double
2018-01-27 10:57:31,200.50267368403183,11207.95802133983,11249.0,2018-01-27 11:35:12,11171.0,double
2018-01-27 12:15:51,193.6563702516105,11189.769873675636,11212.0,2018-01-27 12:34:31,11147.0,double
