,avg,base,close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-18 04:34:31,11454.742027447424,btc,11434.0,usd,2018-01-18,2018-01-18 04:34:31,1516239271.0,-0.0017165885645655655,2613173.1976542696,131454.22050125
2018-01-18 05:37:51,11611.463349244843,btc,11600.0,usd,2018-01-18,2018-01-18 05:37:51,1516243071.0,0.002948049886096573,-4459334.333922862,133390.11351748998
2018-01-18 07:21:11,11383.323759945972,btc,11353.0,usd,2018-01-18,2018-01-18 07:21:11,1516249271.0,0.008164294371009215,-12368196.878443224,131885.14455884
2018-01-18 08:44:11,11019.835879252581,btc,10971.0,usd,2018-01-18,2018-01-18 08:44:11,1516254251.0,0.011012027695023192,-16685988.232684042,131095.36932051
2018-01-18 09:20:11,11156.339569506292,btc,11101.08776988,usd,2018-01-18,2018-01-18 09:20:11,1516256411.0,0.01226197737671294,-18581200.25013877,131721.65794482006
2018-01-18 11:20:21,10750.759545966941,btc,10692.0,usd,2018-01-18,2018-01-18 11:20:21,1516263621.0,0.016633170148168758,-25208987.73335335,131109.41490946006
2018-01-18 12:57:21,11289.40222541355,btc,11247.0,usd,2018-01-18,2018-01-18 12:57:21,1516269441.0,0.018151981855777613,-27511920.85391481,128585.29278274
2018-01-18 14:39:11,11538.57000716823,btc,11545.0,usd,2018-01-18,2018-01-18 14:39:11,1516275551.0,0.018743842968464257,-28409348.74140241,119963.76903421
2018-01-18 15:41:21,11815.455166680164,btc,11762.0,usd,2018-01-18,2018-01-18 15:41:21,1516279281.0,0.019388763840485303,-29387202.55264023,117350.10577169
2018-01-18 16:51:51,11711.784600891291,btc,11677.0,usd,2018-01-18,2018-01-18 16:51:51,1516283511.0,0.020269575677638433,-30722737.73225807,117876.71569383
2018-01-18 17:49:51,11685.178897758711,btc,11715.0,usd,2018-01-18,2018-01-18 17:49:51,1516286991.0,0.019364730962880283,-29350770.406744514,112563.44695697
2018-01-18 18:14:22,11827.642536981291,btc,11785.0,usd,2018-01-18,2018-01-18 18:14:22,1516288462.0,0.01863686054021103,-28247131.18155923,111764.17106238003
2018-01-18 19:02:51,11780.754173887904,btc,11774.0,usd,2018-01-18,2018-01-18 19:02:51,1516291371.0,0.017063256070212543,-25861137.373485155,106751.47347987
2018-01-18 22:10:36,11575.117723025647,btc,11557.0,usd,2018-01-18,2018-01-18 22:10:36,1516302636.0,0.009942828349128616,-15064717.891780496,100339.26556512
2018-01-19 00:02:08,11766.064977521291,btc,11730.0,usd,2018-01-19,2018-01-19 00:02:08,1516309328.0,0.007392295429593969,-11197406.545631995,92842.07855549999
2018-01-19 01:58:46,11152.857485125489,btc,11138.0,usd,2018-01-19,2018-01-19 01:58:46,1516316326.0,0.006126080897546667,-9277507.668013293,87283.55216616
2018-01-19 03:01:16,11100.192686726616,btc,11070.0,usd,2018-01-19,2018-01-19 03:01:16,1516320076.0,0.004188675148014331,-6339885.704253062,85272.06701683001
2018-01-19 04:17:46,11336.476477695489,btc,11294.0,usd,2018-01-19,2018-01-19 04:17:46,1516324666.0,0.0022493332181755307,-3399309.041125657,81582.20129300999
2018-01-19 07:03:06,10945.543141241456,btc,10914.0,usd,2018-01-19,2018-01-19 07:03:06,1516334586.0,0.0011037410364506592,-1662328.7096555603,76339.67405423002
2018-01-19 08:32:16,11249.299226231937,btc,11225.0,usd,2018-01-19,2018-01-19 08:32:16,1516339936.0,-0.000621456238936835,953570.8904824824,74162.43920774
2018-01-19 09:43:56,11360.14241406597,btc,11370.0,usd,2018-01-19,2018-01-19 09:43:56,1516344236.0,-0.0018148330383766344,2763100.255072501,72180.27778916
2018-01-19 12:18:06,11629.729539198872,btc,11594.0,usd,2018-01-19,2018-01-19 12:18:06,1516353486.0,-0.005057939671631347,7680727.853306114,73074.22832364001
2018-01-19 13:40:56,11628.160046765808,btc,11628.0,usd,2018-01-19,2018-01-19 13:40:56,1516358456.0,-0.004942273894158964,7505387.746840724,71368.26252435999
