tick_date,tick_time,base,quot,close,volume,timestamp,avg,trend_coef,trend_intercept
2018-01-11,2018-01-11 17:18:00,btc,usd,13602.0,62.97983708,1515680280.0,13705.15521871226,,
2018-01-11,2018-01-11 17:19:00,btc,usd,13647.0,110.63259746,1515680340.0,13703.929412260646,,
2018-01-11,2018-01-11 17:20:00,btc,usd,13637.0,47.94309967,1515680400.0,13702.15521871226,,
2018-01-11,2018-01-11 17:21:00,btc,usd,13611.0,46.90983610000001,1515680460.0,13700.445541292904,,
2018-01-11,2018-01-11 17:22:00,btc,usd,13642.0,41.83354268,1515680520.0,13699.526186454194,,
2018-01-11,2018-01-11 17:23:00,btc,usd,13653.0,33.50145833000001,1515680580.0,13699.090702583226,,
2018-01-11,2018-01-11 17:24:00,btc,usd,13634.0,28.73822497,1515680640.0,13698.381025163872,,
2018-01-11,2018-01-11 17:25:00,btc,usd,13645.05527697,31.92830948,1515680700.0,13697.51094898597,,
2018-01-11,2018-01-11 17:26:00,btc,usd,13663.0,49.31836497,1515680760.0,13696.349658663388,,
2018-01-11,2018-01-11 17:27:00,btc,usd,13679.0,26.28847586,1515680820.0,13695.543207050485,,
2018-01-11,2018-01-11 17:28:00,btc,usd,13688.0,43.53023623000001,1515680880.0,13694.946432856937,,
2018-01-11,2018-01-11 17:29:00,btc,usd,13616.0,64.05459974000001,1515680940.0,13693.623852211775,,
2018-01-11,2018-01-11 17:30:00,btc,usd,13600.0,89.05182944000002,1515681000.0,13692.49481995371,,
2018-01-11,2018-01-11 17:31:00,btc,usd,13713.0,136.91615408999996,1515681060.0,13693.317400598873,,
2018-01-11,2018-01-11 17:32:00,btc,usd,13700.0,118.57811125,1515681120.0,13694.349658663388,,
2018-01-11,2018-01-11 17:33:00,btc,usd,13676.0,28.72271611,1515681180.0,13695.17223930855,,
2018-01-11,2018-01-11 17:34:00,btc,usd,13681.0,58.892337190000006,1515681240.0,13695.51094898597,,
2018-01-11,2018-01-11 17:35:00,btc,usd,13655.0,31.08157831,1515681300.0,13695.736755437581,,
2018-01-11,2018-01-11 17:36:00,btc,usd,13656.0,62.91636889,1515681360.0,13696.269013502098,,
2018-01-11,2018-01-11 17:37:00,btc,usd,13665.0,29.2958452,1515681420.0,13697.075465115002,,
2018-01-11,2018-01-11 17:38:00,btc,usd,13686.0,25.36505708,1515681480.0,13697.83352963113,,
2018-01-11,2018-01-11 17:39:00,btc,usd,13736.0,45.52525211000001,1515681540.0,13698.99481995371,,
2018-01-11,2018-01-11 17:40:00,btc,usd,13690.0,29.07024496,1515681600.0,13700.042460245648,,
2018-01-11,2018-01-11 17:41:00,btc,usd,13670.0,26.40423817,1515681660.0,13700.316653794034,,
2018-01-11,2018-01-11 17:42:00,btc,usd,13653.0,38.61246920000001,1515681720.0,13700.071468756776,,
2018-01-11,2018-01-11 17:43:00,btc,usd,13669.0,41.41807977,1515681780.0,13699.942436498712,,
2018-01-11,2018-01-11 17:44:00,btc,usd,13680.0,54.2162299,1515681840.0,13699.103726821293,,
2018-01-11,2018-01-11 17:45:00,btc,usd,13679.0,37.69895096000001,1515681900.0,13698.11985585355,,
2018-01-11,2018-01-11 17:46:00,btc,usd,13687.0,35.76629549000001,1515681960.0,13697.152113918066,,
2018-01-11,2018-01-11 17:47:00,btc,usd,13680.0,33.18748514999999,1515682020.0,13696.684371982583,,
2018-01-11,2018-01-11 17:48:00,btc,usd,13705.0,43.02581509000001,1515682080.0,13697.168242950325,,
2018-01-11,2018-01-11 17:49:00,btc,usd,13669.0,45.28818965,1515682140.0,13696.603726821293,,
2018-01-11,2018-01-11 17:50:00,btc,usd,13660.0,67.31645899,1515682200.0,13696.394049401937,,
2018-01-11,2018-01-11 17:51:00,btc,usd,13687.0,48.01833152,1515682260.0,13696.635984885808,,
