,avg,base,close,in_close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-23 08:38:11,10329.926231719995,btc,10360.0,10512.0,usd,2018-01-23,2018-01-23 08:38:11,1516685891.0,-0.014076645708908332,21360145.19341541,68716.65168016001
2018-01-23 10:00:51,10273.147482058384,btc,10318.0,10342.0,usd,2018-01-23,2018-01-23 10:00:51,1516690851.0,-0.013350372553662762,20258650.610980313,69893.39923958
2018-01-23 13:47:01,10289.454794458703,btc,10300.0,10352.0,usd,2018-01-23,2018-01-23 13:47:01,1516704421.0,-0.006415292912423386,9740468.1021804,72246.98957638
2018-01-23 15:00:31,9982.143548387094,btc,10004.0,10137.0,usd,2018-01-23,2018-01-23 15:00:31,1516708831.0,-0.004246312214948496,6450807.7443754785,76534.22598298003
2018-01-23 23:26:31,10920.151136815799,btc,10951.0,11050.0,usd,2018-01-23,2018-01-23 23:26:31,1516739191.0,0.004642103603698271,-7030062.615226222,71718.81637854
2018-01-24 03:02:01,10777.435483870962,btc,10770.0,10819.0,usd,2018-01-24,2018-01-24 03:02:01,1516752121.0,0.0058719634190975405,-8895375.612808308,63786.319826499996
2018-01-24 04:05:32,10586.776401558704,btc,10636.0,10645.0,usd,2018-01-24,2018-01-24 04:05:32,1516755932.0,0.006258301282036107,-9481362.914113587,63611.95683757001
2018-01-24 07:34:22,10528.157951522895,btc,10571.0,10608.0,usd,2018-01-24,2018-01-24 07:34:22,1516768462.0,0.007428066541160295,-11255664.107144454,65370.03535250999
2018-01-24 12:24:42,10784.738251287414,btc,10791.0,10844.0,usd,2018-01-24,2018-01-24 12:24:42,1516785882.0,0.005225707872484822,-7915309.453748623,59205.36271476
2018-01-24 19:38:43,10985.8559469558,btc,11013.0,11076.0,usd,2018-01-24,2018-01-24 19:38:43,1516811923.0,0.0011086116008040211,-1670529.645301388,52853.21732878
2018-01-25 12:19:03,11193.19900805967,btc,11216.0,11251.0,usd,2018-01-25,2018-01-25 12:19:03,1516871943.0,0.005921451779003781,-8970571.570556669,42811.53642821
2018-01-25 16:05:38,11077.511298322252,btc,11097.0,11140.0,usd,2018-01-25,2018-01-25 16:05:38,1516885538.0,0.002961095302125568,-4480220.7261684835,38755.52734542
2018-01-25 19:03:48,10964.141966151441,btc,10950.0,11043.0,usd,2018-01-25,2018-01-25 19:03:48,1516896228.0,0.001987144286402541,-3002929.5484137526,34587.983587470015
2018-01-26 09:29:09,11336.871315362729,btc,11347.0,11430.0,usd,2018-01-26,2018-01-26 09:29:09,1516948149.0,0.0012107589068941678,-1825328.981048645,31161.386839560004
2018-01-26 11:46:00,10574.466192788695,btc,10550.0,10746.0,usd,2018-01-26,2018-01-26 11:46:00,1516956360.0,0.0015597684303518895,-2354788.97321268,39013.810861400016
2018-01-26 13:03:20,10353.00580136047,btc,10388.0,10498.0,usd,2018-01-26,2018-01-26 13:03:20,1516961000.0,-0.0009957082023564388,1521611.3135157968,45243.64652298
2018-01-26 22:58:41,10906.612903225796,btc,10906.0,11009.0,usd,2018-01-26,2018-01-26 22:58:41,1516996721.0,-0.007855557698532039,11927556.169657307,56401.10109619
2018-01-27 02:05:43,10769.961023630472,btc,10780.0,10884.0,usd,2018-01-27,2018-01-27 02:05:43,1517007943.0,-0.006757831680089569,10262383.69165272,56322.39339733
2018-01-27 11:43:51,11153.04353297386,btc,11184.0,11212.0,usd,2018-01-27,2018-01-27 11:43:51,1517042631.0,0.008527936090455327,-12925960.51701744,51422.97204926
