timestamp,gap,price,range
1516931249.0,2320.0,11376.736884388354,45.64578398175399
1516986181.0,50362.0,11214.738691750463,861.7328903899925
1516983642.0,242.0,11165.729493953937,6.326268147497103
1516984999.0,1358.0,11152.953616072155,49.92135800765027
1516992030.0,7080.0,11090.348175374827,94.6793796785496
1517002860.0,12278.0,11008.143070367423,101.53016714162732
1517014333.0,1702.0,11129.398111636167,44.387992157144254
1517024851.0,10600.0,11102.702062494403,195.8689092761888
1517029801.0,7880.0,11166.621759362379,167.46942170093644
1517036081.0,20.0,11403.954471874045,0.21130894599264138
1517041311.0,5200.0,11447.797657891291,273.63636756872256
1517043821.0,2380.0,11300.31389387599,147.27036090213005
1517059033.0,10862.0,11355.637528327805,457.0616675208803
1517064660.0,3558.0,11073.899638909867,92.77956300181177
1517074363.0,1282.0,11540.079136729091,37.17591092265138
